Indcd,Indnme,样本数,M_Score均值,M_Score中位数,M_Score标准差,综合评分均值,综合评分中位数,M_Score超阈值比,极高风险数,高风险数,中等风险数,关注数,重述率,平均营业收入_亿,平均总资产_亿,风险指数
C17,纺织业,565,-2.078897262294376,-2.3495796068220125,1.7540667839235118,10.391666306223053,8.0,17.168141592920357,0,5,16,43,13.982300884955754,25.617730572781596,40.35829435367858,7.5392535020487434
M75,科技推广和应用服务业,14,-2.1513752402833677,-2.354359813035942,1.5379236577947581,10.952006789255929,4.56313929443796,14.285714285714285,0,0,1,2,21.428571428571427,59.70525224424286,82.66268162003573,7.52738001697314
D46,水的生产和供应业,177,-2.1597078473051896,-2.3435669501753877,1.2118280201606053,8.119609352021822,4.943021025161151,16.94915254237288,0,0,2,10,15.819209039548024,26.03301287510622,132.7222426031113,7.477926142024122
H61,住宿业,115,-1.9641662538341031,-2.465479731922065,2.20290348545871,12.453051392458262,9.005916316310469,17.391304347826086,0,1,6,8,13.043478260869565,27.654495680662603,90.28955580814696,7.465915237176797
G55,水上运输业,389,-2.172712542138721,-2.449306377362157,1.9197561222023836,9.296010856883209,6.348947562748474,15.167095115681233,1,1,12,20,18.251928020565554,116.30695014574448,342.52644929598665,7.4653994101756265
C14,食品制造业,500,-2.1715776737036645,-2.424205374977897,1.4339825450871886,8.548877133431798,6.016772929431293,17.0,0,1,7,34,15.2,51.9860165899364,57.409446469792805,7.461372192833579
D45,燃气生产和供应业,219,-2.258776398359185,-2.450816162767617,1.3579676599178079,9.973176617287319,8.0,14.61187214611872,0,1,4,16,19.17808219178082,68.14773360811186,127.20278359156711,7.42219321551582
C19,皮革、毛皮、羽毛及其制品和制鞋业,103,-2.3429299689966863,-2.4716833100721973,0.9996698700528448,11.001705813054071,8.540543903954228,12.62135922330097,0,0,4,11,22.330097087378643,17.173549086958253,29.01880526469417,7.163426594629723
D44,电力、热力生产和供应业,903,-2.261754513770255,-2.5077831762258467,1.6716966227348413,8.820036133808498,6.0,14.728682170542637,0,1,20,61,17.829457364341085,137.55756236982856,462.48994833556776,7.148295937510602
C22,造纸及纸制品业,383,-2.2128664640832376,-2.384291178154862,1.3415606786875143,8.824388875948634,6.0,15.143603133159269,0,1,7,24,15.143603133159269,55.362574782816445,110.40123035711149,6.915011363834781
R85,新闻和出版业,231,-2.3454667135246536,-2.39826759840491,0.702614422853618,7.760402781643736,3.002897589677642,12.121212121212121,0,1,3,9,16.017316017316016,46.595187928383986,83.83110858683247,6.188232175785277
C23,印刷和记录媒介复制业,129,-2.4040482282914453,-2.434599452861917,0.6062077395138717,7.606660325108102,5.078477212123042,11.627906976744185,0,0,1,4,17.829457364341085,12.659359971074416,25.708906496993027,6.1818073484871885
B07,石油和天然气开采业,66,-2.4905177732703665,-2.646895567178571,0.5903414261603078,6.904537847345982,3.2889948702660057,13.636363636363635,0,0,0,5,13.636363636363635,9362.510707232732,7762.445755732426,6.153624980982
H62,餐饮业,43,-2.423060905388742,-2.3890934944305293,1.3788272230165242,8.780855017939082,5.754652330356247,11.627906976744185,0,0,1,2,13.953488372093023,10.026797846388371,13.471903162053488,5.603347486382056
G53,铁路运输业,50,-2.3089077837150302,-2.295655936147476,0.57624147251796,5.813628442124286,1.8993019144031758,12.0,0,0,0,3,12.0,241.600568288094,645.68648755471,5.41453407110531
None,None,10373,-2.33359824368007,-2.4399270461108524,1.1621679616790144,8.032101087170219,5.322364300530529,13.303769401330376,0,13,119,640,7.085703268099874,122.66479396998486,208.58585348811405,5.111664172509693
O79,居民服务业,6,-2.9742786646649058,-2.9783903882896627,1.6007763661253906,8.302636187770764,7.0,16.666666666666664,0,0,0,0,0.0,16.9543209751,30.380642264699997,5.020756590469426
G56,航空运输业,162,-2.5865083507815942,-2.564565109113016,1.1051231341173966,6.557015869697137,1.376978270076121,4.938271604938271,0,0,3,1,17.28395061728395,335.7888099716536,849.4751308990907,4.090466613748316
O80,机动车、电子产品和日用产品修理业,5,-3.013565660751937,-3.1961596287511864,0.6153616792277421,8.307292027283015,6.0,0.0,0,0,0,0,20.0,4.15508822416,3.0480104238600005,3.0207682300682075
B10,非金属矿采选业,5,-2.3063166878322816,-2.3706346602221826,0.3225484686189619,1.791276595777824,0.0,0.0,0,0,0,0,0.0,8.73833506964,21.122901787400004,0.00447819148944456
